358 358 130
1 -0.0081407 0.033177 0.021492
2 -0.00058521 0.027067 0.027653
3 0.0066307 0.033001 0.022321
4 -0.016397 0.028255 0.024884
5 -0.010006 0.022827 0.032006
6 -0.016334 0.015017 0.034083
7 -0.025883 0.018176 0.024596
8 -0.020773 0.02944 0.017784
9 -0.029765 0.019726 0.017856
10 -0.0012629 0.013099 0.036949
11 -0.0089701 0.0060378 0.040018
12 -0.0015777 -0.0039496 0.041119
13 0.0055502 0.0055065 0.040603
14 -0.020876 0.0080348 0.035268
15 -0.029835 0.011166 0.025726
16 -0.029484 0.00098758 0.03058
17 -0.033213 0.014774 0.014088
18 -0.033741 0.010014 0.0031966
19 -0.0305 0.016652 0.0012224
20 -0.017012 -0.0023736 0.039685
21 -0.026123 -0.0086607 0.03533
22 -0.020338 -0.02099 0.039429
23 -0.011555 -0.01191 0.041892
24 -0.035472 0.0057766 0.017573
25 -0.035917 -0.003826 0.022638
26 -0.03684 0.0015691 0.0069033
27 -0.040537 -0.0090982 0.010914
28 -0.03557 -0.016252 0.027626
29 -0.030689 -0.027786 0.03165
30 -0.04051 -0.020831 0.016677
31 -0.03706 -0.033308 0.023414
32 -0.037738 -0.002489 -0.0075992
33 -0.040829 -0.012014 -0.0017571
34 -0.039913 -0.016385 -0.012422
35 -0.021395 -0.039683 0.034964
36 -0.028859 -0.044997 0.026035
37 -0.019496 -0.0548 0.025223
38 -0.012773 -0.048884 0.033194
39 -0.04229 -0.025155 0.0062425
40 -0.039263 -0.037854 0.012716
41 -0.041156 -0.029052 -0.0041659
42 -0.038922 -0.041083 0.0020894
43 -0.03287 -0.049441 0.016269
44 -0.023706 -0.059093 0.015242
45 -0.033129 -0.052911 0.0053328
46 -0.024963 -0.06133 0.0055021
47 -0.038578 -0.032642 -0.013392
48 -0.036356 -0.044947 -0.007191
49 -0.032903 -0.048383 -0.014339
50 -0.031731 -0.03804 -0.022854
51 -0.019552 -0.066514 -0.0081476
52 -0.023759 -0.061108 -0.015024
53 -0.015848 -0.061311 -0.022497
54 -0.010166 -0.068019 -0.015123
55 -0.025656 -0.051219 -0.023536
56 -0.017396 -0.049889 -0.032378
57 -0.023838 -0.040599 -0.033865
58 -0.032854 0.0061223 -0.0087057
59 -0.028038 0.011569 -0.013047
60 -0.035544 -0.023623 -0.019528
61 -0.026939 -0.030099 -0.033554
62 -0.01321 -0.032062 0.039889
63 -0.001831 -0.023334 0.041474
64 -0.0024326 -0.041655 0.037853
65 0.0087783 -0.032829 0.040923
66 -0.010606 -0.06165 0.020133
67 -0.0024144 -0.055816 0.028061
68 0.0064933 -0.062168 0.020787
69 -0.0091466 -0.064922 0.012265
70 -0.011801 -0.067685 0.0026347
71 -0.0016961 -0.069355 -0.0049777
72 0.0057879 -0.065444 0.012899
73 0.0085687 -0.068691 0.0035248
74 0.0064187 -0.056697 -0.029188
75 -0.0079245 -0.055443 -0.02976
76 -0.0010511 -0.064867 -0.019804
77 0.007625 0.022444 0.032769
78 0.015015 0.027897 0.026777
79 0.013937 0.014462 0.035688
80 0.024888 0.017153 0.027072
81 0.020476 0.029237 0.019982
82 0.029311 0.018808 0.020716
83 0.018572 0.0072049 0.037159
84 0.028392 0.010195 0.028654
85 0.027355 -0.00058102 0.033581
86 0.033039 0.013909 0.016932
87 0.031407 0.015711 0.0044621
88 0.033833 0.0089298 0.0057358
89 0.0077543 -0.012727 0.042631
90 0.013697 -0.0034159 0.041214
91 0.023585 -0.010256 0.037759
92 0.016637 -0.02242 0.041257
93 0.034585 0.00429 0.020691
94 0.034222 -0.0057756 0.025865
95 0.036203 -0.0005919 0.0096192
96 0.039244 -0.011464 0.013775
97 0.028971 0.0097014 -0.010466
98 0.033473 0.0039961 -0.0056299
99 0.033026 -0.018324 0.030976
100 0.027618 -0.029622 0.034418
101 0.038634 -0.023464 0.020044
102 0.034497 -0.03607 0.026456
103 0.037881 -0.0046088 -0.0047625
104 0.040275 -0.0148 0.0010126
105 0.039228 -0.019034 -0.0098208
106 0.0082303 -0.049613 0.034064
107 0.017149 -0.041128 0.036867
108 0.025511 -0.047235 0.028152
109 0.015007 -0.056142 0.026694
110 0.040895 -0.028186 0.0088268
111 0.037115 -0.040895 0.015664
112 0.040072 -0.032092 -0.0011309
113 0.037508 -0.044349 0.0047971
114 0.035132 -0.026351 -0.016944
115 0.027531 -0.032817 -0.031289
116 0.029831 -0.05203 0.019151
117 0.020326 -0.061033 0.016956
118 0.030771 -0.055735 0.0077819
119 0.021929 -0.063649 0.0078484
120 0.036886 -0.035146 -0.011062
121 0.034467 -0.048146 -0.0046283
122 0.030539 -0.040536 -0.020901
123 0.030672 -0.051357 -0.012399
124 0.013418 -0.063441 -0.021409
125 0.0072308 -0.06916 -0.01456
126 0.016299 -0.068589 -0.0066013
127 0.021234 -0.063727 -0.013913
128 0.01635 -0.052105 -0.031127
129 0.023712 -0.043093 -0.0321
130 0.02417 -0.054102 -0.021664
