356 356 130
1 -0.0098985 0.034473 0.020346
2 -0.0012702 0.028355 0.025696
3 0.0061265 0.034334 0.020466
4 -0.017629 0.029318 0.023112
5 -0.011126 0.02326 0.030032
6 -0.017497 0.015116 0.031871
7 -0.02698 0.018161 0.023231
8 -0.022375 0.030572 0.016882
9 -0.030988 0.020014 0.016627
10 -0.0016241 0.013706 0.034786
11 -0.0097942 0.0064417 0.037582
12 -0.0022402 -0.0033957 0.038914
13 0.0050082 0.0064828 0.03782
14 -0.021692 0.0081593 0.033025
15 -0.03058 0.011046 0.024312
16 -0.030348 0.00078962 0.028922
17 -0.03413 0.014695 0.013094
18 -0.034619 0.010282 0.0027709
19 -0.031469 0.017055 0.00039796
20 -0.018027 -0.002117 0.037245
21 -0.026948 -0.0085818 0.033413
22 -0.02096 -0.020574 0.037163
23 -0.012503 -0.011576 0.039693
24 -0.036282 0.0056908 0.016385
25 -0.03666 -0.0039004 0.021571
26 -0.037778 0.0016465 0.0067024
27 -0.04094 -0.0089967 0.010671
28 -0.035796 -0.015691 0.0264
29 -0.030781 -0.027334 0.03004
30 -0.040473 -0.020304 0.015798
31 -0.037343 -0.032375 0.021662
32 -0.038705 -0.001801 -0.006854
33 -0.041224 -0.011757 -0.0013968
34 -0.039902 -0.014835 -0.011428
35 -0.021997 -0.038596 0.032624
36 -0.028913 -0.043544 0.024381
37 -0.019591 -0.052656 0.023003
38 -0.012891 -0.047286 0.030854
39 -0.041884 -0.023865 0.005429
40 -0.038774 -0.03606 0.011256
41 -0.04044 -0.027003 -0.0042963
42 -0.037997 -0.038472 0.00089067
43 -0.032915 -0.047132 0.013917
44 -0.023491 -0.05658 0.012847
45 -0.032293 -0.049864 0.0034729
46 -0.024911 -0.057599 0.0029711
47 -0.037314 -0.030126 -0.013295
48 -0.035127 -0.041443 -0.0082829
49 -0.031279 -0.043681 -0.015196
50 -0.030575 -0.034707 -0.022005
51 -0.018927 -0.061033 -0.0099107
52 -0.022195 -0.054588 -0.016271
53 -0.014695 -0.052361 -0.022355
54 -0.010423 -0.060228 -0.015929
55 -0.023868 -0.045553 -0.023063
56 -0.017143 -0.043256 -0.030728
57 -0.023802 -0.036091 -0.031333
58 -0.034038 0.0070257 -0.008267
59 -0.028919 0.012766 -0.012897
60 -0.035008 -0.022202 -0.017724
61 -0.02697 -0.027828 -0.030344
62 -0.01353 -0.031179 0.037816
63 -0.002286 -0.022744 0.039384
64 -0.0028288 -0.040319 0.035344
65 0.0088142 -0.031043 0.038217
66 -0.010814 -0.059154 0.017375
67 -0.0029551 -0.053352 0.025315
68 0.005927 -0.059556 0.01732
69 -0.0096036 -0.061836 0.0093269
70 -0.011774 -0.063885 -0.00045353
71 -0.0022868 -0.063757 -0.0066529
72 0.0050756 -0.062153 0.0096333
73 0.008077 -0.064722 -0.0002616
74 0.0057753 -0.048135 -0.027758
75 -0.0083763 -0.047179 -0.028597
76 -0.0013383 -0.056168 -0.01953
77 0.0073584 0.0233 0.030194
78 0.014147 0.029419 0.02426
79 0.013298 0.015603 0.032766
80 0.024076 0.018359 0.024584
81 0.019595 0.030988 0.01802
82 0.028695 0.020403 0.018025
83 0.017968 0.0083967 0.034076
84 0.027539 0.011268 0.025994
85 0.026929 0.00096233 0.030574
86 0.032169 0.015321 0.014436
87 0.030195 0.017118 0.0018978
88 0.032721 0.010645 0.0038564
89 0.0076493 -0.011887 0.04001
90 0.013413 -0.0026189 0.038429
91 0.023405 -0.0090694 0.034994
92 0.016435 -0.021419 0.038376
93 0.033772 0.0052962 0.017949
94 0.033561 -0.0043731 0.023244
95 0.035307 0.0011619 0.0077638
96 0.038412 -0.0093012 0.011841
97 0.027524 0.012084 -0.011604
98 0.032364 0.0065915 -0.00686
99 0.032801 -0.016392 0.028138
100 0.026757 -0.028018 0.031742
101 0.03807 -0.021406 0.017553
102 0.034418 -0.033963 0.023405
103 0.036903 -0.0020806 -0.0058923
104 0.039256 -0.012528 -0.00039563
105 0.037621 -0.015824 -0.01093
106 0.008203 -0.047374 0.031002
107 0.017066 -0.039228 0.033762
108 0.024558 -0.044832 0.025901
109 0.014992 -0.053022 0.024356
110 0.039941 -0.025299 0.0064968
111 0.036623 -0.037881 0.012848
112 0.038556 -0.028475 -0.002976
113 0.036066 -0.040441 0.0019221
114 0.033566 -0.0231 -0.017003
115 0.026565 -0.029265 -0.028682
116 0.029958 -0.049161 0.015791
117 0.019902 -0.058081 0.014027
118 0.02998 -0.052002 0.0043852
119 0.021498 -0.059947 0.0039167
120 0.034825 -0.030892 -0.01272
121 0.03259 -0.043704 -0.0068719
122 0.028679 -0.036143 -0.021604
123 0.028346 -0.046109 -0.014769
124 0.011585 -0.054682 -0.021458
125 0.0067892 -0.061165 -0.016083
126 0.015082 -0.062886 -0.0093861
127 0.019139 -0.056803 -0.016247
128 0.015105 -0.04517 -0.02969
129 0.02264 -0.038336 -0.030034
130 0.021907 -0.047997 -0.022434
