327 327 130
1 -0.013321 0.060374 0.0084197
2 -0.0014727 0.055573 0.02135
3 0.01075 0.0597 0.0084618
4 -0.025547 0.055572 0.016516
5 -0.014999 0.052358 0.029305
6 -0.024842 0.041996 0.037175
7 -0.039696 0.040896 0.022289
8 -0.032358 0.053227 0.0061653
9 -0.04514 0.038319 0.011862
10 -0.0020362 0.041511 0.041853
11 -0.013217 0.032281 0.049655
12 -0.0023029 0.018772 0.056452
13 0.0092934 0.032198 0.049552
14 -0.031349 0.031969 0.042426
15 -0.04513 0.030725 0.027767
16 -0.044807 0.018872 0.038951
17 -0.049669 0.029091 0.0097733
18 -0.05109 0.016941 -0.0030743
19 -0.046022 0.025646 -0.0074153
20 -0.025427 0.019627 0.053156
21 -0.039358 0.0066896 0.050471
22 -0.030113 -0.0071767 0.0605
23 -0.016525 0.0068878 0.060498
24 -0.053176 0.018525 0.019025
25 -0.05339 0.0082467 0.030728
26 -0.055996 0.0071742 0.0073357
27 -0.060404 -0.0049149 0.017295
28 -0.05234 -0.0063916 0.043988
29 -0.045272 -0.020049 0.054708
30 -0.060721 -0.018137 0.031671
31 -0.055352 -0.032553 0.046445
32 -0.058291 -0.0049169 -0.010088
33 -0.062285 -0.015708 0.0027377
34 -0.060647 -0.026508 -0.010737
35 -0.032063 -0.034594 0.06286
36 -0.043528 -0.046991 0.053727
37 -0.028839 -0.060498 0.056142
38 -0.018206 -0.049343 0.064973
39 -0.063114 -0.029092 0.01845
40 -0.058957 -0.044337 0.033548
41 -0.062084 -0.039732 0.0056283
42 -0.057857 -0.053476 0.018898
43 -0.049429 -0.057563 0.042092
44 -0.035177 -0.071119 0.043621
45 -0.048918 -0.067245 0.02781
46 -0.03731 -0.077929 0.030665
47 -0.057436 -0.04822 -0.0063008
48 -0.053521 -0.06218 0.0072728
49 -0.048511 -0.069183 -0.0019554
50 -0.049048 -0.059175 -0.017375
51 -0.027001 -0.090051 0.012048
52 -0.033798 -0.086539 0.0014363
53 -0.022564 -0.08978 -0.0089835
54 -0.014367 -0.094734 0.0031408
55 -0.039078 -0.076845 -0.013166
56 -0.02713 -0.07889 -0.026281
57 -0.038733 -0.067509 -0.030849
58 -0.051832 0.0055354 -0.015606
59 -0.043029 0.010287 -0.025668
60 -0.054623 -0.039012 -0.018591
61 -0.044186 -0.052546 -0.034594
62 -0.019252 -0.021314 0.065776
63 -0.0027923 -0.0074399 0.064407
64 -0.0029964 -0.036094 0.067777
65 0.014141 -0.0211 0.066002
66 -0.014886 -0.072796 0.050812
67 -0.0030569 -0.061115 0.060141
68 0.009541 -0.073204 0.050983
69 -0.014228 -0.080671 0.040571
70 -0.01672 -0.088642 0.026255
71 -0.0020469 -0.093117 0.016091
72 0.0088042 -0.081113 0.040653
73 0.012196 -0.089442 0.026417
74 0.0088446 -0.085445 -0.022252
75 -0.011655 -0.084748 -0.022415
76 -0.0015708 -0.092726 -0.0068182
77 0.012249 0.05182 0.029081
78 0.0226 0.054495 0.017349
79 0.020755 0.041753 0.037256
80 0.036969 0.040071 0.022334
81 0.0305 0.052085 0.0060137
82 0.042682 0.037436 0.012088
83 0.027612 0.031837 0.042542
84 0.042073 0.03024 0.028078
85 0.041066 0.018621 0.039787
86 0.047232 0.028539 0.0096957
87 0.044519 0.025163 -0.0066993
88 0.048861 0.016552 -0.0032556
89 0.011985 0.0068166 0.060934
90 0.020396 0.019212 0.053829
91 0.034802 0.0062045 0.05165
92 0.024669 -0.0070517 0.06151
93 0.050325 0.017739 0.019322
94 0.05003 0.0070378 0.031168
95 0.053265 0.0058889 0.0076536
96 0.057394 -0.006121 0.0175
97 0.040641 0.0089197 -0.026341
98 0.049752 0.004678 -0.01539
99 0.048322 -0.007094 0.044788
100 0.040786 -0.020256 0.05531
101 0.057173 -0.019151 0.032081
102 0.050914 -0.033492 0.04718
103 0.056142 -0.00614 -0.010055
104 0.059414 -0.016548 0.0029938
105 0.058553 -0.027444 -0.010514
106 0.012667 -0.049727 0.064936
107 0.02602 -0.034851 0.063881
108 0.038573 -0.047766 0.054759
109 0.023204 -0.06104 0.05699
110 0.059959 -0.030554 0.019068
111 0.055442 -0.045656 0.034009
112 0.059467 -0.041185 0.006529
113 0.055255 -0.054833 0.019526
114 0.053084 -0.040502 -0.018335
115 0.042641 -0.05434 -0.035292
116 0.045151 -0.059004 0.0431
117 0.03096 -0.072444 0.044063
118 0.045747 -0.06932 0.028288
119 0.033522 -0.079407 0.031705
120 0.05552 -0.049607 -0.0060355
121 0.051252 -0.06414 0.0079067
122 0.047353 -0.061038 -0.017231
123 0.046475 -0.070949 -0.0016049
124 0.019173 -0.09124 -0.0093191
125 0.010408 -0.095911 0.0031679
126 0.023103 -0.091708 0.012431
127 0.03116 -0.088076 0.0017039
128 0.024583 -0.080264 -0.02655
129 0.036726 -0.068914 -0.031454
130 0.036729 -0.078833 -0.013005
